Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785151460,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1785151461,10,,Aggregated,0.000000,0.000000,41,61,70,71,100,110,130,130,130,130,130,44,0,38,44.590223453600295,4.051666997838765,125.23700000019744,112.25
1785151462,20,,Aggregated,0.000000,0.000000,12,28,51,59,69,94,110,110,130,130,130,123,0,12,27.941730340973027,1.7080839606933296,125.23700000019744,102.21951219512195
1785151463,30,,Aggregated,36.000000,0.000000,11,13,33,56,71,93,100,110,130,130,130,240,0,11,24.664266644685995,1.7080839606933296,125.23700000019744,96.64583333333333
1785151464,40,,Aggregated,54.000000,0.000000,10,13,30,45,65,74,98,110,130,130,130,373,0,10,22.47495943790891,1.7080839606933296,125.23700000019744,93.87131367292226
1785151465,50,,Aggregated,72.333333,0.000000,8,12,28,40,63,73,94,100,130,130,130,555,0,8,20.981076120415718,1.7080839606933296,125.23700000019744,92.31891891891892
1785151466,50,,Aggregated,89.250000,0.000000,8,11,19,30,59,71,82,98,130,130,130,709,0,8,19.016127881107323,1.6313749947585166,125.23700000019744,89.64174894217207
1785151467,50,,Aggregated,104.400000,0.000000,8,11,16,26,55,70,78,97,130,130,130,876,0,8,17.638989154036267,1.5920000150799751,125.23700000019744,89.13356164383562
1785151468,50,,Aggregated,114.666667,0.000000,8,10,13,22,50,68,77,97,110,130,130,1029,0,8,16.40315726880243,1.5920000150799751,125.23700000019744,87.78425655976676
1785151469,50,,Aggregated,120.428571,0.000000,7,10,12,19,47,65,74,93,110,130,130,1203,0,7,15.725168428834333,1.4261670294217765,125.23700000019744,87.83790523690773
1785151470,50,,Aggregated,125.750000,0.000000,7,10,12,18,46,64,74,86,110,130,130,1366,0,7,15.385101023711343,1.4261670294217765,125.23700000019744,87.4289897510981
1785151471,50,,Aggregated,130.000000,0.000000,7,9,12,16,43,63,73,81,110,130,130,1524,0,7,14.779815918989321,1.4261670294217765,125.23700000019744,87.16338582677166
1785151472,50,,Aggregated,132.500000,0.000000,7,9,11,15,40,61,72,78,110,130,130,1685,0,7,14.28404879249848,1.4261670294217765,125.23700000019744,86.58100890207714
1785151473,50,,Aggregated,146.300000,0.000000,7,9,11,15,40,63,76,94,120,130,130,1845,0,7,14.56116594984335,1.4261670294217765,125.23700000019744,86.41626016260163
1785151474,50,,Aggregated,154.500000,0.000000,7,9,12,17,46,69,93,110,130,140,140,2006,0,7,15.778315224916213,1.4261670294217765,135.83133299835026,86.18893320039881
1785151475,50,,Aggregated,159.300000,0.000000,7,9,12,19,46,69,90,100,130,140,140,2163,0,7,15.918186103988187,1.4261670294217765,135.83133299835026,86.2871012482663
1785151476,50,,Aggregated,161.700000,0.000000,7,9,12,18,44,67,89,100,130,140,140,2329,0,7,15.487163339055932,1.4261670294217765,135.83133299835026,86.06526406182911
1785151477,50,,Aggregated,161.000000,0.000000,7,9,12,18,45,67,89,100,130,140,140,2484,0,7,15.566382733885657,1.4261670294217765,135.83133299835026,85.8780193236715
1785151478,50,,Aggregated,160.700000,0.000000,7,9,12,17,44,66,86,100,130,140,140,2645,0,7,15.365513723976523,1.4261670294217765,135.83133299835026,85.79962192816635
1785151479,50,,Aggregated,161.500000,0.000000,7,9,11,16,41,65,85,100,130,140,140,2807,0,7,14.912569722111593,1.4261670294217765,135.83133299835026,85.69576059850374
1785151480,50,,Aggregated,161.500000,0.000000,7,9,11,16,44,66,87,100,130,140,140,2960,0,7,15.223417554728725,1.4261670294217765,135.83133299835026,85.51385135135135
1785151481,50,,Aggregated,160.600000,0.000000,7,9,11,16,43,65,86,100,130,140,140,3123,0,7,15.061458375253048,1.4261670294217765,135.83133299835026,85.1969260326609
1785151482,50,,Aggregated,161.000000,0.000000,7,9,11,16,44,67,90,100,130,140,140,3277,0,7,15.358707266515829,1.4261670294217765,137.6728750183247,85.22429050961244
1785151483,50,,Aggregated,158.600000,0.000000,7,9,12,17,43,65,89,100,130,140,140,3446,0,7,15.246801389357236,1.4261670294217765,137.6728750183247,85.25333720255368
1785151484,50,,Aggregated,160.100000,0.000000,7,9,12,17,43,66,90,100,130,140,140,3596,0,7,15.320447546073046,1.4261670294217765,137.6728750183247,85.15767519466074
1785151485,50,,Aggregated,160.600000,0.000000,7,9,11,15,41,65,89,100,130,140,140,3750,0,7,15.000383012695238,1.4261670294217765,137.6728750183247,85.14
