timestamp,queue_depth,active_sessions,error
2026-07-27T19:24:20.064083,0,1,
2026-07-27T19:24:21.160150,4,9,
2026-07-27T19:24:22.274818,47,50,
2026-07-27T19:24:23.369470,138,137,
2026-07-27T19:24:24.450968,232,235,
2026-07-27T19:24:25.560563,362,364,
2026-07-27T19:24:26.689739,480,481,
2026-07-27T19:24:27.784606,605,608,
2026-07-27T19:24:28.907511,734,737,
2026-07-27T19:24:30.059256,850,853,
2026-07-27T19:24:31.191637,978,980,
2026-07-27T19:24:32.350673,1104,1108,
2026-07-27T19:24:33.544608,1229,1231,
2026-07-27T19:24:34.700374,1359,1361,
2026-07-27T19:24:35.822660,1490,1490,
2026-07-27T19:24:37.027642,1620,1623,
2026-07-27T19:24:38.180598,1760,1763,
2026-07-27T19:24:39.410896,1889,1893,
2026-07-27T19:24:40.551957,2026,2028,
2026-07-27T19:24:41.783353,2149,2151,
2026-07-27T19:24:42.942486,2275,2272,
2026-07-27T19:24:44.121815,2395,2397,
2026-07-27T19:24:45.338263,2524,2528,
2026-07-27T19:24:46.509991,2671,2675,
2026-07-27T19:24:47.701017,2805,2808,
2026-07-27T19:24:48.941136,2943,2944,
2026-07-27T19:24:50.142683,3089,3093,
